Participant,ProbeNum,MW,PC,Condition,ProbeStart,ClosestFix,ActualDif,NumFix,FixDur
P3,1,1.0,1.0,neu,1750426042,1730413315,20.0,74,184
P3,2,1.0,1.0,neu,1883088371,1863103434,20.0,87,154
P3,3,0.0,,neu,1999460335,1979552151,19.9,75,163
P3,4,0.0,,neu,2157470810,2137558022,19.9,73,160
P3,5,1.0,1.0,neu,2249706069,2229786770,19.9,81,139
P3,6,1.0,0.0,emo,2400427384,2380405927,20.0,76,149
P3,7,0.0,,emo,2520473396,2500522059,20.0,85,134
P3,8,0.0,,emo,2614202360,2594242645,20.0,79,147
P3,9,0.0,,emo,2702742372,2682684022,20.1,73,134
P3,10,1.0,0.0,emo,2799008725,2779076064,19.9,79,164
P6,1,1.0,0.0,neu,4986584085,4966523014,20.1,84,112
P6,2,0.0,,neu,5099335095,5079381969,20.0,71,106
P6,3,0.0,,neu,5195483638,5175379399,20.1,61,97
P6,4,1.0,1.0,neu,5315229223,5295229256,20.0,69,108
P6,5,1.0,0.0,neu,5412131907,5392110591,20.0,80,103
P6,6,0.0,,emo,5528788885,5509004885,19.8,46,108
P6,7,1.0,1.0,emo,5614986783,5594903968,20.1,66,100
P6,8,1.0,0.0,emo,5697711132,5677747359,20.0,88,129
P6,9,1.0,0.0,emo,5788668731,5768833563,19.8,79,145
P6,10,0.0,,emo,5850520245,5830416210,20.1,98,132
P8,1,0.0,,neu,11972107314,11952355199,19.8,54,141
P8,2,0.0,,neu,12060492959,12040510085,20.0,63,131
P8,3,1.0,0.0,neu,12171439500,12151473368,20.0,67,114
P8,4,1.0,0.0,neu,12280563796,12260556983,20.0,65,133
P8,5,0.0,,neu,12353603417,12333769904,19.8,70,136
P8,6,0.0,,emo,12473952292,12453187898,20.8,43,120
P8,7,0.0,,emo,12566143929,12546077737,20.1,74,117
P8,8,1.0,1.0,emo,12638316205,12618243637,20.1,56,121
P8,9,0.0,,emo,12720824080,12700991639,19.8,79,116
P8,10,1.0,0.0,emo,12791475438,12771544885,19.9,22,93
P10,1,0.0,,neu,26205157133,26185379422,19.8,52,313
P10,2,1.0,0.0,neu,26350485311,26330585620,19.9,83,143
P10,3,1.0,0.0,neu,26506033807,26485938155,20.1,49,331
P10,4,0.0,,neu,26721561721,26701689575,19.9,49,296
P10,5,0.0,,neu,26862630588,26842459660,20.2,62,268
P10,6,0.0,,emo,27075973051,27055943775,20.0,56,303
P10,7,0.0,,emo,27271829994,27251841489,20.0,85,158
P10,8,0.0,,emo,27415472097,27395342147,20.1,58,275
P10,9,0.0,,emo,27558295777,27538255027,20.0,72,185
P10,10,0.0,,emo,27702871660,27682965200,19.9,58,243
P12,1,0.0,,neu,2092740498,2072510127,20.2,64,185
P12,2,1.0,0.0,neu,2219683316,2199659070,20.0,75,183
P12,3,0.0,,neu,2315749393,2295812100,19.9,82,180
P12,4,0.0,,neu,2475004180,2454991596,20.0,70,200
P12,5,1.0,0.0,neu,2579253842,2559201199,20.1,74,142
P12,6,1.0,0.0,emo,2716199896,2696266749,19.9,65,199
P12,7,0.0,,emo,2828598369,2808706925,19.9,52,185
P12,8,0.0,,emo,2937456761,2917344325,20.1,76,169
P12,9,0.0,,emo,3029749253,3009705076,20.0,53,241
P12,10,1.0,0.0,emo,3124663384,3104708338,20.0,69,205
P14,1,1.0,0.0,neu,5600782187,5580097759,20.7,27,127
P14,2,0.0,,neu,5766750990,5746798053,20.0,44,118
P14,3,1.0,0.0,neu,5911678679,5891705339,20.0,40,109
P14,4,1.0,0.0,neu,6104697578,6084632756,20.1,57,126
P14,5,1.0,1.0,neu,6227934025,6208978916,19.0,61,132
P14,6,1.0,1.0,emo,6419299658,6399269496,20.0,64,136
P14,7,1.0,1.0,emo,6555461772,6535445519,20.0,75,154
